,equity_19,equity_20,equity_21,equity_22,equity_23,equity_24,equity_25,equity_26,equity_28,equity_29,total
0,0.9943608799017449,1.011974218998005,0.9932615313707817,1.0067257520402024,0.9940684465573322,1.0049445264261858,1.0057188725472312,0.9952415926216829,1.0005375765845377,0.9912775203169885,0.9998110917364691
1,1.0047666634834713,1.0142724685862095,0.9860825815301053,1.000394884622792,0.9970320154927456,0.9984879682203844,1.0024047527587596,0.9887001694540749,1.0090375253609238,0.9757279646002254,0.997690699410969
2,0.9924970868531163,1.0101524659930812,0.9907109863637722,1.0026319059120836,1.0028042366052854,1.0012013818652812,1.0182456664031374,0.9889349170818966,1.0140472646580299,0.9809266845371146,1.00021525962728
3,0.9949575762047912,1.0077442836613404,0.9974930345279611,0.9982332636687684,1.0036271257896243,1.0023898429420302,1.0105551573212836,1.0030430054689625,1.0103836081884305,0.9766323919030895,1.0005059289676281
4,0.9973443034605391,0.9911062514822115,1.0036373620802008,0.9993223360046891,1.0044761496587287,0.9949686488403129,1.0149485919255063,0.990763583902146,1.007874614195977,0.9755399489099633,0.9979981790460274
5,1.0032874417895095,0.992886305125444,0.995978112958449,0.996076233335271,1.0010407535425254,0.9902363007694481,1.0145877133291346,0.9911486003145392,1.0040266821588453,0.9539527139494542,0.9943220857272619
6,1.0218224080122458,1.001338215377055,1.0027689075041648,0.9912258965311408,0.996449483138945,0.9907787292958021,1.0187944729177816,0.9786898994219232,1.0043967642706413,0.9484196997654096,0.9954684476235108
7,1.0085055053719296,0.9804928416656118,0.9919363607966384,0.9682623521784745,0.9877118974843526,0.9880210462318826,1.0081438778000962,0.9702747108656204,1.0046300329629867,0.9511843424193672,0.985916296777696
8,0.9948859466733428,0.9603957503601082,0.9836306370833003,0.9579210934255908,0.9889411205831655,0.9937489404437057,1.0081674908900529,0.9667317327904255,0.9911604137031322,0.9617954681888113,0.9807378594141636
9,0.987893793698907,0.9724871826921471,0.9927297133396471,0.957933291336865,0.9902096817268768,0.9873169710118695,1.0059641079131427,0.9637958619197055,0.987720640492572,0.9533794518491762,0.979943069598091
10,0.989756753397641,0.9827130931892527,0.9957484167649047,0.9463033156644693,0.9827305525613158,0.9930620496318662,1.0076899962531725,0.9663087604968786,0.9918223211602077,0.9419823020936267,0.9798117561213333
11,0.9723147792107829,0.9750038609652681,0.9925136358203629,0.951479078621247,0.9832188927813074,1.0010551462786301,1.0126646484608535,0.9633564434253713,0.98462360357978,0.9443150021834554,0.9780545091327058
12,0.9815227504034105,0.9907550853872461,0.9837437740498174,0.9624219760159447,0.9772642165214213,1.003236027045738,1.0027471032810427,0.9686253179615852,0.9814110331392645,0.937414376522048,0.9789141660327519
13,0.9833470767874266,0.9988392361331669,0.9840365206424926,0.9777879446368405,0.9707500540079425,1.0132801913230858,0.9982700381141636,0.9679175067400129,0.9752021047507111,0.9203673519277027,0.9789798025063543
14,0.965624181770227,0.9846095816759987,0.9745258225633305,0.9754037154171181,0.9728554027228383,1.0254534844068834,0.9995345884818322,0.972515939994513,0.9789750315672516,0.9268723806959855,0.977637012929598
15,0.9884373155796838,0.9919263713816143,0.969789211800431,0.975800372841153,0.974890627593395,1.029275432178282,0.9946077010370541,0.976749900173121,0.9851805397802639,0.9378370458277692,0.9824494518192768
16,1.0019441153148807,1.000848189070143,0.9668490427381747,0.9629598424476894,0.9771672718363764,1.0264811044542932,0.9931335223850726,0.9804561416083313,0.9836365489301245,0.9483074808092029,0.984178325959429
17,0.9945127457191633,0.9969639966362216,0.9614799821697705,0.954685418304578,0.9783674622647238,1.0265246272721429,0.9917962894368189,0.9816627578657149,0.9865697997151769,0.9500177427355188,0.9822580822119829
18,0.9963735383548836,1.0022702168806372,0.9519164410715055,0.9552488928561231,0.9824548455581881,1.0230199674160332,0.9920391858920539,0.9816642712110848,0.9798778963687153,0.9468226532353798,0.9811687908844604
19,0.974595705746707,1.0053467997742285,0.9399398323065532,0.9361403505373991,0.9807785146717893,1.0267486953374,1.0018391744867803,0.9662222819463248,0.9850399063504168,0.9476895298046009,0.9764340790962199
20,0.9864289292485156,1.0003661214957251,0.950611079610887,0.9399698755379273,0.9747712544094518,1.0259901794304356,1.0058565131714974,0.9632586006525482,0.989605163266902,0.9493030885448015,0.9786160805368691
21,0.9809562249843478,1.0174627026429672,0.9704831093680645,0.9356656888953794,0.9735072947592207,1.0263837997507155,1.0098185351420477,0.9531597248782099,0.9918276078474412,0.9425464236552878,0.980181111192368
22,0.967549682848299,1.0158543935031823,0.9734040910950098,0.9350375318222474,0.9712025641252182,1.024364925387518,1.006967784403613,0.9677660455840679,0.9996799622205638,0.9447304106429761,0.9806557391632694
23,0.9669179088495137,0.9971292554745427,0.9655326779645216,0.9232671939726868,0.9786675499469909,1.0295094034238879,1.0203391910400657,0.9695518898973038,0.9989893897493337,0.9366904113285718,0.9786594871647418
24,0.9815839234121351,0.998322141669781,0.9585572138994309,0.9049603409296346,0.9716836400330388,1.0303718586652921,1.0019193886313278,0.9688979203834976,0.9969797466678556,0.9485720317291754,0.9761848206021171
25,0.9757484174048097,1.0147691176889182,0.9408621550373196,0.9130836348750097,0.9647396253771997,1.037004240274843,1.0001564206612317,0.9811668992958479,0.9919702906115393,0.942950383321131,0.9762451184547849
26,0.9780299014611669,1.0039130994309085,0.9405535160217366,0.9073969277168626,0.9665857219097285,1.0464725223908886,1.0016609705896324,0.9689024380760164,0.9936807789826134,0.950431696718913,0.9757627573298467
