,seed,RW_p_l,Sharpie_ratio,accuracy,p_l
0,18,-0.3796,1.792,0.588,14.9
1,19,-0.5152,-0.02,0.497,-0.61
2,20,1.6488,0.325,0.507,1.195
3,21,1.4315,0.11,0.49,-1.17
4,22,0.1725,0.167,0.502,0.733
5,23,-0.8256,0.165,0.501,-0.004
6,24,-0.8168,0.168,0.494,0.408
7,25,-0.5529,0.121,0.499,0.26
8,26,-0.4258,0.296,0.506,1.613
9,28,-0.3428,0.125,0.499,0.251
10,29,1.7866,0.11,0.497,0.242
