,seed,RW_p_l,Sharpie_ratio,accuracy,p_l
0,18,-0.4448,4.007,0.825,59.012
1,19,-0.5196,0.166,0.501,0.706
2,20,1.5501,0.248,0.508,1.354
3,21,1.5945,0.21,0.507,1.238
4,22,0.1659,0.007,0.499,0.109
5,23,-2.2792,0.168,0.492,-1.062
6,24,-1.3904,0.154,0.491,0.429
7,25,-0.7387,-0.151,0.497,-0.714
8,26,-0.602,0.261,0.503,2.264
9,28,-0.5707,0.344,0.505,2.806
10,29,1.8649,0.104,0.503,0.237
